Date,Careem,Uber,Bolt,Yango,Cash,Fuel,Salik,Notes
2026-02-02,899.51,904.4,412.63,103.33,470.76,126.81,21.74,single-driver sheet
2026-02-03,802.0,580.98,199.3,184.78,693.58,78.77,24.8,
2026-02-04,1288.18,835.49,251.11,127.79,322.04,70.85,29.13,
2026-02-05,1089.8,772.76,402.74,109.41,729.46,119.57,6.33,
2026-02-06,851.1,660.62,222.54,133.83,392.65,95.14,3.93,
2026-02-07,1246.01,689.82,279.12,133.34,747.36,95.24,27.53,
2026-02-08,1000.99,775.28,296.11,42.99,492.07,80.99,0.12,
2026-02-09,1179.5,602.73,283.11,156.03,556.06,89.56,15.55,
2026-02-10,1033.27,896.45,187.59,129.65,386.67,86.62,23.17,
2026-02-11,1004.63,789.63,357.6,186.0,493.79,106.75,15.17,
